source;source_uniprotAC;source_speciesID;source_species;source_topology;source_pathways;layer;target;target_uniprotAC;target_speciesID;target_species;target_topology;target_pathways;layer;interaction_type;directness;effect;references;data_source;confidence_score;score_from_the_source
WNT5A;P41221;ENSG00000114251;H. sapiens;Ligand ,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;FZD5;Q13467;ENSG00000163251;H. sapiens;Receptor,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;9054360|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.729163, GO Semantic Similarity: 0.729163;
SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;9215638|14722617|14657019|17314099|21791611|9215638|15148321|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.780018;
FRZB;Q92765;ENSG00000162998;H. sapiens;Co-factor;WNT/Wingless(core);Interaction between pathway members;WNT1;P04628;ENSG00000125084;H. sapiens;Ligand ;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;9326585|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.783399;
MAPK3;P27361;ENSG00000102882;H. sapiens;Mediator;RTK(core),JAK/STAT(core),TGF(core);Interaction between pathway members;SMAD1;Q15797;ENSG00000170365;H. sapiens;Mediator,Transcription factor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;9335504|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.613184;
SMAD6;O43541;ENSG00000137834;H. sapiens;Mediator,Transcription factor;RTK(non-core),TGF(non-core);Interaction between pathway members;SMAD1;Q15797;ENSG00000170365;H. sapiens;Mediator,Transcription factor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;9335505|9256479|12857866|11483516|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.847174;
SMAD4;Q13485;ENSG00000141646;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core);Interaction between pathway members;CREB1;P16220;ENSG00000118260;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;9689110|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.698931;
ACVR1;Q04771;ENSG00000115170;H. sapiens;Receptor;TGF(core);Interaction between pathway members;SMAD1;Q15797;ENSG00000170365;H. sapiens;Mediator,Transcription factor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;9748228|10652350|10583507|9748228|9136927|10085121|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.652973, GO Semantic Similarity: 0.652973;
ACVRL1;P37023;ENSG00000139567;H. sapiens;Receptor;TGF(core);Interaction between pathway members;SMAD1;Q15797;ENSG00000170365;H. sapiens;Mediator,Transcription factor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;9748228|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.608223;
BMPR1B;O00238;ENSG00000138696;H. sapiens;Receptor;TGF(core);Interaction between pathway members;SMAD5;Q99717;ENSG00000113658;H. sapiens;Mediator,Transcription factor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;9766532|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.652973;
BMPR1B;O00238;ENSG00000138696;H. sapiens;Receptor;TGF(core);Interaction between pathway members;SMAD1;Q15797;ENSG00000170365;H. sapiens;Mediator,Transcription factor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;9766532|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.652973;
SMAD6;O43541;ENSG00000137834;H. sapiens;Mediator,Transcription factor;RTK(non-core),TGF(non-core);Interaction between pathway members;TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;9892110|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.780018;
SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;9892110|9892009|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.818649, GO Semantic Similarity: 0.818649;
SMAD6;O43541;ENSG00000137834;H. sapiens;Mediator,Transcription factor;RTK(non-core),TGF(non-core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;9892110|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.847174;
SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;9892110|9892009|17438144|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.629665, GO Semantic Similarity: 0.629665;
SMAD6;O43541;ENSG00000137834;H. sapiens;Mediator,Transcription factor;RTK(non-core),TGF(non-core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;9892110|9256479|21071413|23331499;Biogrid(url: http://thebiogrid.org/ ,pmid: 21071413), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.885565;
WNT8A;Q9H1J5;ENSG00000061492;H. sapiens;Ligand ;WNT/Wingless(core);Interaction between pathway members;FZD7;O75084;ENSG00000155760;H. sapiens;Receptor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10097073|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.874702;
MAPK1;P28482;ENSG00000100030;H. sapiens;Mediator;RTK(core),TGF(core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10197981|16156666|10197981|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.613184, GO Semantic Similarity: 0.613184;
MAPK3;P27361;ENSG00000102882;H. sapiens;Mediator;RTK(core),JAK/STAT(core),TGF(core);Interaction between pathway members;SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10197981|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.613184;
MAPK1;P28482;ENSG00000100030;H. sapiens;Mediator;RTK(core),TGF(core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10197981|10197981|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.613184, GO Semantic Similarity: 0.613184;
MAPK3;P27361;ENSG00000102882;H. sapiens;Mediator;RTK(core),JAK/STAT(core),TGF(core);Interaction between pathway members;SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10197981|12193595|11027280|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.613184, GO Semantic Similarity: 0.613184;
ADAM10;O14672;ENSG00000137845;H. sapiens;Co-factor;Notch(non-core);Interaction between pathway members;NOTCH2;Q04721;ENSG00000134250;H. sapiens;Receptor;Notch(core);Interaction between pathway members;PPI directed;direct;stimulation;10423016|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.698931;
ACVR1;Q04771;ENSG00000115170;H. sapiens;Receptor;TGF(core);Interaction between pathway members;SMAD5;Q99717;ENSG00000113658;H. sapiens;Mediator,Transcription factor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;10504300|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.652973, GO Semantic Similarity: 0.652973;
BAMBI;Q13145;ENSG00000095739;H. sapiens;Co-factor;TGF(non-core);Interaction between pathway members;BMPR1A;P36894;ENSG00000107779;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;10519551|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.634218;
BAMBI;Q13145;ENSG00000095739;H. sapiens;Co-factor;TGF(non-core);Interaction between pathway members;TGFBR1;P36897;ENSG00000106799;H. sapiens;Receptor,Endocytosis related ,Scaffold;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;10519551|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.634218;
SFRP1;Q8N474;ENSG00000104332;H. sapiens;Co-factor;WNT/Wingless(non-core);Interaction between pathway members;WNT1;P04628;ENSG00000125084;H. sapiens;Ligand ;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10523516|10347172|10347172|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.828214;
SMAD6;O43541;ENSG00000137834;H. sapiens;Mediator,Transcription factor;RTK(non-core),TGF(non-core);Interaction between pathway members;BMPR1A;P36894;ENSG00000107779;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;10564272|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.780018;
SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;BMPR1A;P36894;ENSG00000107779;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;10564272|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.780018, GO Semantic Similarity: 0.780018;
SMAD6;O43541;ENSG00000137834;H. sapiens;Mediator,Transcription factor;RTK(non-core),TGF(non-core);Interaction between pathway members;ACVR1;Q04771;ENSG00000115170;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;10564272|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.780018;
SMAD7;O15105;ENSG00000101665;H. sapiens;Co-factor,Transcription factor;RTK(non-core),TGF(core);Interaction between pathway members;ACVR1;Q04771;ENSG00000115170;H. sapiens;Receptor;TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;10564272|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.854441;
AXIN1;O15169;ENSG00000103126;H. sapiens;Mediator,Scaffold;RTK(non-core),TGF(non-core),TGF(core),WNT/Wingless(core);Interaction between pathway members;MAP3K1;Q13233;ENSG00000095015;H. sapiens;Mediator,Endocytosis related ;RTK(core),TGF(non-core);Interaction between pathway members;PPI directed;direct;stimulation;10575011|11884395|10829020|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.653666, GO Semantic Similarity: 0.653666;
GSK3B;P49841;ENSG00000082701;H. sapiens;Mediator,Co-factor;RTK(non-core),RTK(core),Hedgehog(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;APC2;O95996;ENSG00000115266;H. sapiens;Co-factor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10698523|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.610674, GO Semantic Similarity: 0.610674;
UNQ1895/PRO4341;Q9NR61;ENSG00000128917;H. sapiens;Ligand ;Notch(non-core);Interaction between pathway members;NOTCH4;Q99466;ENSG00000204301,ENSG00000234876;H. sapiens;Receptor;Notch(non-core);Interaction between pathway members;PPI directed;direct;stimulation;10837027|12814948|18988627|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.698931;
SMAD4;Q13485;ENSG00000141646;H. sapiens;Co-factor,Transcription factor;RTK(core),TGF(core);Interaction between pathway members;LEF1;Q9UJU2;ENSG00000138795;H. sapiens;Transcription factor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10890911|10890911|10890911|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.736014;
SMAD3;P84022;ENSG00000166949;H. sapiens;Mediator,Transcription factor;RTK(core),NHR(core),TGF(core),WNT/Wingless(non-core),WNT/Wingless(core);Interaction between pathway members;LEF1;Q9UJU2;ENSG00000138795;H. sapiens;Transcription factor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10890911|10890911|10890911|10890911|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.771131;
SMAD2;Q15796;ENSG00000175387;H. sapiens;Mediator,Transcription factor;RTK(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;LEF1;Q9UJU2;ENSG00000138795;H. sapiens;Transcription factor;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10890911|10890911|10890911|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.771131;
JAG1;P78504;ENSG00000101384;H. sapiens;Ligand ;Notch(non-core);Interaction between pathway members;NOTCH2;Q04721;ENSG00000134250;H. sapiens;Receptor;Notch(core);Interaction between pathway members;PPI directed;direct;stimulation;10958687|10958687|10958687|10551863|10958687|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.732828;
JAG2;Q9Y219;ENSG00000184916;H. sapiens;Ligand ,Endocytosis related ,Scaffold;Notch(core);Interaction between pathway members;NOTCH2;Q04721;ENSG00000134250;H. sapiens;Receptor;Notch(core);Interaction between pathway members;PPI directed;direct;stimulation;10958687|10958687|10958687|10958687|18988627|23331499|21071413;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.698931;
JAG2;Q9Y219;ENSG00000184916;H. sapiens;Ligand ,Endocytosis related ,Scaffold;Notch(core);Interaction between pathway members;NOTCH3;Q9UM47;ENSG00000074181;H. sapiens;Receptor;Notch(core);Interaction between pathway members;PPI directed;direct;stimulation;10958687|11006133|11006133|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.698931;
JAG1;P78504;ENSG00000101384;H. sapiens;Ligand ;Notch(non-core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10958687|11006133|11006133|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.698931;
JAG2;Q9Y219;ENSG00000184916;H. sapiens;Ligand ,Endocytosis related ,Scaffold;Notch(core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10958687|11006133|11006133|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.832356;
DLL3;Q9NYJ7;ENSG00000090932;H. sapiens;Ligand ;Notch(non-core);Interaction between pathway members;NOTCH1;P46531;ENSG00000148400;H. sapiens;Receptor,Endocytosis related ;Notch(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10958687|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.832356;
APC2;O95996;ENSG00000115266;H. sapiens;Co-factor;WNT/Wingless(core);Interaction between pathway members;AXIN1;O15169;ENSG00000103126;H. sapiens;Mediator,Scaffold;RTK(non-core),TGF(non-core),TGF(core),WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10980707|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 0.884988;
WNT5A;P41221;ENSG00000114251;H. sapiens;Ligand ,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;FZD4;Q9ULV1;ENSG00000174804;H. sapiens;Receptor,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;10990458|23331499;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499);GO Semantic Similarity: 1.0;
GSK3B;P49841;ENSG00000082701;H. sapiens;Mediator,Co-factor;RTK(non-core),RTK(core),Hedgehog(core),TGF(core),WNT/Wingless(core);Interaction between pathway members;MYC;P01106;ENSG00000136997;H. sapiens;Transcription factor;RTK(core),TGF(core);Interaction between pathway members;PPI directed;direct;stimulation;11018017|14563837|19131971|23331499|21071413;Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: 23331499), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/);GO Semantic Similarity: 0.695971, GO Semantic Similarity: 0.695971;
WNT1;P04628;ENSG00000125084;H. sapiens;Ligand ;WNT/Wingless(core);Interaction between pathway members;LRP6;O75581;ENSG00000070018;H. sapiens;Receptor,Co-factor,Endocytosis related ;WNT/Wingless(core);Interaction between pathway members;PPI directed;direct;stimulation;11029007|11448771|11029007|11448771|18988627|21071413|23331499;HPRD(url: http://www.hprd.org/ ,pmid: 18988627), Biogrid(url: http://thebiogrid.org/ ,pmid: http://thebiogrid.org/), Signalink 2.0 (manual curation)(url: http://signalink.org ,pmid: http://signalink.org);GO Semantic Similarity: 0.750228;
